,epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auroc,val_ap,val_ppr
0,0,0.0001,2.322586469065008,82.6317859952793,2.407507157695386,80.62015771865845,0.5124577283859253,0.20535968244075775,0.0
1,1,0.02008,4.300124785357999,71.7741935483871,3.0810123111619507,80.62015771865845,0.494038462638855,0.1939663589000702,0.0
2,2,0.04006,2.357729895484438,82.6317859952793,2.5192622569180276,80.62015771865845,0.5096461772918701,0.19472619891166687,0.0
3,3,0.060039999999999996,2.2712311228835422,82.6317859952793,2.4196482436601507,80.62015771865845,0.5393596291542053,0.20773953199386597,0.0
4,4,0.08002,2.2097826782499683,82.6317859952793,2.338015120898106,80.62015771865845,0.5499019622802734,0.21270006895065308,0.0
5,5,0.1,2.20146905128455,82.6317859952793,2.3391047987827034,80.62015771865845,0.5435461401939392,0.20800063014030457,0.0
6,6,0.09999351131345625,2.2003242740661118,82.6317859952793,2.335378696752149,80.62015771865845,0.5316923260688782,0.2052803337574005,0.0
7,7,0.09997404693796397,2.2074902134556926,82.6317859952793,2.3561466457307803,80.62015771865845,0.5330557823181152,0.2058810591697693,0.0
8,8,0.09994161192550291,2.223858714385074,82.6317859952793,2.3593559858410855,80.62015771865845,0.5370038747787476,0.20699331164360046,0.0
9,9,0.09989621469458244,2.198805982723281,82.6317859952793,2.337262619003769,80.62015771865845,0.527346134185791,0.20492182672023773,0.0
10,10,0.09983786702805644,2.2013561461123774,82.6317859952793,2.3457381022992982,80.62015771865845,0.5217846035957336,0.20259037613868713,0.0
11,11,0.09976658407006508,2.187245277979541,82.6317859952793,2.385246490508087,80.62015771865845,0.5228307247161865,0.2065943032503128,0.0
12,12,0.09968238432210422,2.1869029122764534,82.6317859952793,2.3746891091960345,80.62015771865845,0.5281000137329102,0.21677044034004211,0.0
13,13,0.09958528963822322,2.194143974527799,82.6317859952793,2.3359153573827225,80.62015771865845,0.5266692042350769,0.21496768295764923,0.0
14,14,0.09947532521935286,2.184081125878425,82.6317859952793,2.342825924148855,80.62015771865845,0.5315500497817993,0.22082702815532684,0.0
15,15,0.09935251960676435,2.1910129244359435,82.6317859952793,2.3364845394164093,80.62015771865845,0.5297038555145264,0.21414148807525635,0.0
16,16,0.09921690467466149,2.187460025026515,82.6317859952793,2.335720763834872,80.62015771865845,0.5332577228546143,0.21585966646671295,0.0
17,17,0.09906851562190765,2.186529223793234,82.6317859952793,2.3659214884735817,80.62015771865845,0.5265846252441406,0.21565374732017517,0.0
18,18,0.09890739096288996,2.1788750165658706,82.6317859952793,2.342600336000901,80.62015771865845,0.5318769216537476,0.21504145860671997,0.0
19,19,0.0987335725175229,2.180914928554832,82.6317859952793,2.3459613744602645,80.62015771865845,0.5325846672058105,0.21463075280189514,0.0
20,20,0.09854710540039392,2.1715229693404527,82.6317859952793,2.3909026046131934,80.62015771865845,0.531561553478241,0.21665030717849731,0.0
21,21,0.09834803800905396,2.1789534780380766,82.6317859952793,2.3481251882952314,80.62015771865845,0.5331807732582092,0.2126767933368683,0.0
