,epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auroc,val_ap,val_ppr
0,0,3e-07,0.6930747964924288,50.21636506687648,0.6924348220344662,51.16279125213623,0.5406557321548462,0.2204166054725647,50.85271317829457
1,1,6.023999999999999e-05,0.6927846708136408,50.786782061369,0.677514952929445,80.62015771865845,0.5254173278808594,0.2084459364414215,0.0
2,2,0.00012017999999999999,0.693586954397071,50.609756097560975,0.69559594549874,28.75969111919403,0.5183115601539612,0.20075680315494537,85.96899224806202
3,3,0.00018011999999999998,0.6927959577104972,51.19984264358773,0.6957967276721038,44.26356554031372,0.533473014831543,0.21552053093910217,61.16279069767442
4,4,0.00024005999999999998,0.6931104673165022,51.4162077104642,0.7142563422520956,19.457364082336426,0.5272634029388428,0.20823624730110168,99.76744186046511
5,5,0.0003,0.6937839842799327,50.5507474429583,0.6703163061031076,76.1240303516388,0.5289461612701416,0.21304188668727875,7.131782945736434
6,6,0.00029991826197246844,0.6936116294538196,50.1573564122738,0.7062759609185448,19.457364082336426,0.51740962266922,0.20918503403663635,99.92248062015504
7,7,0.00029967313726920677,0.6938821744206006,50.01966955153423,0.6982699881228366,19.457364082336426,0.5118769407272339,0.20396029949188232,99.92248062015504
8,8,0.00029926489393047916,0.6929458316436066,50.924468922108574,0.6905863408894501,65.11628031730652,0.5103288888931274,0.20478281378746033,27.286821705426355
9,9,0.0002986939783643827,0.6923188210752984,52.24232887490165,0.6768908150436342,79.45736646652222,0.5281558036804199,0.2109518200159073,1.7829457364341086
10,10,0.00029796101485870695,0.6924104426528036,52.24232887490165,0.6855418042619099,64.26356434822083,0.5253423452377319,0.210067018866539,29.689922480620154
11,11,0.00029706680489828395,0.6927779989857827,51.1801730920535,0.6767443695733714,80.31007647514343,0.5246846079826355,0.21438345313072205,0.6201550387596899
12,12,0.00029601232628857684,0.6920466240140793,51.986624704956725,0.6949672233226687,60.85271239280701,0.5279442071914673,0.20902135968208313,35.736434108527135
13,13,0.0002947987320864636,0.6927791510296093,51.04248623131392,0.6699502879334974,80.62015771865845,0.5289692282676697,0.2142454832792282,0.0
14,14,0.00029342734933938643,0.6911047000663662,52.4390243902439,0.7077221004537834,19.37984526157379,0.4990346133708954,0.20544397830963135,100.0
15,15,0.00029189967763424486,0.692142427248996,52.183320220298974,0.687055428730425,72.32558131217957,0.5260846018791199,0.21424709260463715,15.891472868217054
16,16,0.00029021738745761943,0.6917497815342984,53.36349331235248,0.6814612576203752,71.3178277015686,0.5277481079101562,0.21258075535297394,16.124031007751938
17,17,0.00028838231836911905,0.6922307638649299,51.691581431943355,0.6903477893319241,69.84496116638184,0.5141326785087585,0.2127818763256073,19.45736434108527
18,18,0.0002863964769898498,0.6917798116767997,52.4390243902439,0.6811229783435201,80.07751703262329,0.48701536655426025,0.1995091587305069,1.1627906976744187
19,19,0.00028426203480820414,0.6923117376893266,52.2816679779701,0.6688594788543938,80.62015771865845,0.5138731002807617,0.20274583995342255,0.0
20,20,0.0002819813258053701,0.6914427485829915,52.871754523996856,0.6772842606832815,75.89147090911865,0.5160057544708252,0.20782700181007385,7.829457364341085
21,21,0.0002795568439031573,0.6907343962453276,53.3831628638867,0.6828834554021672,70.8527147769928,0.5231519341468811,0.21049350500106812,17.364341085271317
22,22,0.00027699124023692983,0.691995860224723,52.55704169944925,0.6759694054145221,77.13178396224976,0.5175750255584717,0.20613880455493927,5.658914728682171
23,23,0.000274287320256629,0.6908045452378285,53.107789142407555,0.6977460662523906,38.992246985435486,0.517340362071991,0.21207842230796814,69.84496124031008
24,24,0.00027144804065905466,0.6913459515308977,53.166797797010226,0.67595818920653,74.72867965698242,0.5179365277290344,0.2066478729248047,10.232558139534884
25,25,0.00026847650615476087,0.6926580877120245,50.90479937057435,0.6774893391964047,79.0697693824768,0.5150672793388367,0.2087426483631134,2.945736434108527
26,26,0.00026537596607310046,0.6914194312553346,52.26199842643588,0.6772452981897102,77.98449397087097,0.5118076801300049,0.20752832293510437,5.426356589147287
27,27,0.00026214981080913103,0.691852355172182,52.34067663257278,0.6852767866711283,67.59690046310425,0.508573055267334,0.20456773042678833,23.100775193798448
28,28,0.0002588015681162678,0.6926388285649657,52.00629425649095,0.669521421332692,80.4651141166687,0.5058096647262573,0.20529711246490479,0.46511627906976744
29,29,0.000255334899248737,0.6910508645509379,52.2816679779701,0.6635892846787623,79.92247939109802,0.5168538093566895,0.20629405975341797,1.937984496124031
